date,year,month,semester,quarter,decade,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,usd_raw,eur_raw,gbp_raw,jpy_raw,cny_raw,gdp_dollar,adj_price,usd_adjusted,eur_adjusted,gbp_adjusted,jpy_adjusted,cny_adjusted,gdp_per_capita,log_gdp_per_capita,inflation_rate,unemployment_rate,population,log_population,urban_pct,continent,income_group,eu_member
4/1/01,2001,4,H1,2,2000,JPN,JPY,Japan,294,124,2.370967742,-0.06655,0.04836,-0.16682,0,0.98299,,,,,,,,34406.18246,10.44599155,-0.740055504,5.02,127149000,18.66087019,79.99,Asia,High income,0
4/1/01,2001,4,H1,2,2000,KOR,KRW,South Korea,3000,1325,2.264150943,-0.1086,0.00113,-0.20436,-0.04505,0.89365,,,,,,,,11561.20717,9.355410564,4.066575879,3.699,47370164,17.67350314,79.94,Asia,High income,0
4/1/01,2001,4,H1,2,2000,MEX,MXN,Mexico,21.9,9.29,2.35737352,-0.0719,0.04235,-0.1716,-0.00573,0.97162,,,,,,,,7952.764795,8.98127492,6.367738062,2.627,100099099,18.42167124,75.045,North America,Upper middle income,0
4/1/01,2001,4,H1,2,2000,MYS,MYR,Malaysia,4.52,3.8,1.189473684,-0.5317,-0.47406,-0.58201,-0.49832,-0.00517,,,,,,,,3943.799439,8.279899862,1.416784732,3.53,23526538,16.97363962,62.922,Asia,Upper middle income,0
4/1/01,2001,4,H1,2,2000,NZL,NZD,New Zealand,3.6,2.47,1.457489879,-0.42619,-0.35555,-0.48783,-0.38528,0.21899,,,,,,,,13882.85683,9.538410036,2.625816304,5.433,3880500,15.17147457,86.1,Oceania,High income,0
4/1/01,2001,4,H1,2,2000,PHL,PHP,Philippines,59,50.3,1.172962227,-0.5382,-0.48136,-0.58781,-0.50528,-0.01898,,,,,,,,969.5306117,6.876812049,5.345501956,3.698,81401488,18.21490411,46.05,Asia,Lower middle income,0
4/1/01,2001,4,H1,2,2000,POL,PLN,Poland,5.9,4.03,1.464019851,-0.42361,-0.35266,-0.48553,-0.38252,0.22445,,,,,,,,5015.2379,8.520236137,5.408335456,18.435,38248076,17.45960382,61.761,Europe,High income,1
4/1/01,2001,4,H1,2,2000,RUS,RUB,Russia,35,28.9,1.211072664,-0.5232,-0.46451,-0.57442,-0.48921,0.0129,,,,,,,,2100.352539,7.649860485,21.47700721,8.978,145976482,18.79895608,73.346,Europe,Upper middle income,0
4/1/01,2001,4,H1,2,2000,SGP,SGD,Singapore,3.3,1.81,1.82320442,-0.2822,-0.19384,-0.35931,-0.23103,0.52486,,,,,,,,21699.74149,9.985055626,0.997197956,3.76,4138012,15.23572604,100,Asia,High income,0
4/1/01,2001,4,H1,2,2000,SWE,SEK,Sweden,24,10.28,2.33463035,-0.08085,0.03229,-0.17959,-0.01533,0.9526,,,,,,,,27259.48067,10.21315665,2.405958341,4.73,8895960,16.0011078,84.071,Europe,High income,1
4/1/01,2001,4,H1,2,2000,THA,THB,Thailand,55,45.5,1.208791209,-0.5241,-0.46552,-0.57522,-0.49017,0.01099,,,,,,,,1889.934325,7.544297359,1.626908873,2.6,63651141,17.96892781,32.548,Asia,Upper middle income,0
4/1/01,2001,4,H1,2,2000,TWN,TWD,Taiwan,70,32.9,2.127659574,-0.16234,-0.05922,-0.25232,-0.10262,0.7795,,,,,,,,,,,,,,,Asia,High income,0
4/1/01,2001,4,H1,2,2000,USA,USD,United States,2.54,1,2.54,0,0.1231,-0.10743,0.07129,1.12436,,,,,,,,37133.6204,10.52227805,2.826171119,4.731,284968955,19.4678908,79.234,North America,High income,0
4/1/01,2001,4,H1,2,2000,ZAF,ZAR,South Africa,9.7,8.13,1.193111931,-0.53027,-0.47245,-0.58073,-0.49678,-0.00212,,,,,,,,,,,,,,,Africa,Upper middle income,0
4/1/02,2002,4,H1,2,2000,ARG,ARS,Argentina,2.5,3.13,0.798722045,-0.67923,-0.66388,-0.72319,-0.60369,-0.37015,,,,,,,,2569.699635,7.851544298,,19.59,38029349,17.45386876,89.51,South America,Upper middle income,0
4/1/02,2002,4,H1,2,2000,AUS,AUD,Australia,3,1.86,1.612903226,-0.35225,-0.32125,-0.44103,-0.1997,0.27189,,,,,,,,20301.84317,9.918466958,2.981574539,6.375,19495210,16.78567935,84.222,Oceania,High income,0
4/1/02,2002,4,H1,2,2000,BRA,BRL,Brazil,3.6,2.34,1.538461538,-0.38214,-0.35258,-0.46683,-0.23664,0.21319,,,,,,,,2855.940189,7.957156381,8.450164377,10.641,178503484,19.00011868,81.88,South America,Upper middle income,0
4/1/02,2002,4,H1,2,2000,CAN,CAD,Canada,3.33,1.57,2.121019108,-0.14819,-0.10743,-0.26494,0.05241,0.67258,,,,,,,,24256.01923,10.09642008,2.258394409,7.665,31359199,17.26101821,79.888,North America,High income,0
4/1/02,2002,4,H1,2,2000,CHE,CHF,Switzerland,6.3,1.66,3.795180723,0.52417,0.5971,0.31526,0.8831,1.99277,,,,,,,,42458.73847,10.65628802,0.642711507,2.924,7284753,15.80129409,73.401,Europe,High income,0
4/1/02,2002,4,H1,2,2000,CHL,CLP,Chile,1400,655,2.13740458,-0.1416,-0.10053,-0.25926,0.06054,0.6855,,,,,,,,4430.847412,8.396346134,2.489398167,10.168,15857925,16.57917993,86.606,South America,High income,0
